k	a	set	resolving?
15	3	012100220012111,012220000012012,001220210112011,000220120012011,012221220012011,012220022012011,012100220012011,012220220002011,210022220012011,012221220212011,000210221010011,000210221010021,012220020012011,012220000022211,012100220011001,012100220012110	True
15	3	001211202112211,221110211112210,000010112121211,000010112122211,011202222112211,000210212112211,221120212112211,001211202112011,011202222002211,001211212112211,011202222002221,011202010110211,011202222012101,221110212212211,011200212112211,001211202112212	True
15	3	001022211112201,000122201112212,000122202112211,120211100112211,001020201012211,011102201112221,001122201100211,011102201112211,000122001112211,001122201100011,011122221112211,001022201112111,011102201212211,011102201122211,000122001111211,001022211112200	True
15	3	000010002221010,010110202201012,000010002001010,001212202211010,001212202201010,010120202201010,010120202201110,102201202200010,102201102202010,102201102201010,102200202101220,010110201201010,000210212201010,102201202200000,010110220201010,000010002221011	True
15	3	000010020012112,010012021112210,202202021112112,001022011112112,010012021122112,000012022112112,202211221112112,010012021112112,001112021112112,000010021112112,010012121112012,010012021112102,001022011211112,001112021110112,010012001102122,000010020012111	True
15	3	122122001120022,011210001020020,122120002120022,000020201220022,122120002120222,011210001020012,011210001100022,122120021110022,001021001120102,122122000120022,011020001120022,122120002122022,122122111121022,000000001120022,011210001120022,122122001120021	True
15	3	000022002122210,201001000022011,001020002122010,201002212122010,201001102121110,201001000122010,201001002122010,201001022102020,201001022122000,000022002122010,201122002112010,010222002120010,201112001222010,201001022102010,201001102122010,000022002122212	True
15	3	000202010012022,121210220011011,121202020012012,011202020012012,000202010022012,001022120012112,001022000000012,001021021012012,001022122212012,121102020012012,001022122012012,000202010022212,001021021012002,001022020112012,001022000002012,000202010012020	True
15	3	010122110002101,001000220002110,010102220002121,001000220002101,120002220102201,010102222002101,010102000001101,010102020002101,120201220022101,010102000001001,120002220012101,120002220000101,120202220002101,000012221202101,120002220002101,010122110002102	True
15	3	001122000210021,000112212210022,210000222210021,210002201211021,000122202210021,010221202210121,010122202020221,210002202110021,001122000212021,010221202210021,010122202010021,210000202210001,210002202210021,210000102200021,010122202020211,001122000210020	True
15	3	001122211000111,011002112022112,101002202021111,000012222121101,011001212021011,101200212021111,101200212021211,011001212011111,001122211001111,101200212021221,000012212021111,000012010021111,001122212021111,101002202221111,000002212021111,001122211000110	True
15	3	000112210202120,112020212011222,012222221001220,000112210202200,001022212001220,112002012101220,000112102001220,112020212001220,012022212001210,012021212021220,000112210202220,000112210201220,012222222000220,112002012001020,012222212001220,000112210202121	True
15	3	110001001100222,012002000220221,000100012102222,012002022100222,000100012111222,110020102100222,000100012100222,110000002100202,001200002100212,001200002100222,110000002100022,110000202100222,110001001000222,012002002100222,000010002100122,110001001100220	True
15	3	201001112121121,001201212121122,000222112120121,000222112121221,011110012121121,000222110121111,011111112122121,011110112121121,000222110211021,011111122121121,011111112122101,000222112101121,011201111021121,000201102121121,000222110211121,201001112121120	True
15	3	001100010100212,000200111121010,202201111110002,001100010120012,202210112120012,012000111120012,012000111120112,202210112220022,001222111120012,001222111122012,012000211120012,001220101120012,202210112220012,001222121020012,001100011120012,001100010100211	True
15	3	000110220002220,000110220002121,000110220012120,000110200002120,012210020002120,001111120002120,000110120002110,211020121002020,211022120002120,211010122021120,211020120002120,000110120002120,211100110102120,211020120000120,211020121202100,000110220002222	True
15	3	000122222101220,010122022100102,000122222100010,000112022100210,000122222220210,010122112100210,212220022100210,001022002100210,000122222101210,010122111000210,010122022100210,010122120100210,001102022100210,001021022102210,000112022110210,000122222101221	True
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000000120	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000000121	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000000122	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000000200	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000000201	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000000202	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000000210	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000000211	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000000212	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000000220	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000000221	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000000222	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001000	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001001	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001002	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001010	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001011	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001012	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001020	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001021	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001022	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001100	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001101	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001102	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001110	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001111	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001112	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001120	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001121	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001122	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001200	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001201	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001202	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001210	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001211	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001212	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001220	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001221	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000001222	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000002000	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000002001	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000002002	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000002010	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000002011	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000002012	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000002020	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000002021	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000002022	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000002100	False
15	3	000000000000000,000000000000001,000000000000002,000000000000010,000000000000011,000000000000012,000000000000020,000000000000021,000000000000022,000000000000100,000000000000101,000000000000102,000000000000110,000000000000111,000000000000112,000000000002101	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000000110	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000000111	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000001000	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000001001	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000001010	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000001011	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000001100	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000001101	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000001110	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000001111	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000010000	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000010001	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000010010	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000010011	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000010100	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000010101	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000010110	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000010111	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000011000	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000011001	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000011010	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000011011	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000011100	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000011101	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000011110	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000011111	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000100000	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000100001	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000100010	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000100011	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000100100	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000100101	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000100110	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000100111	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000101000	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000101001	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000101010	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000101011	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000101100	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000101101	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000101110	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000101111	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000110000	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000110001	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000110010	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000110011	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000110100	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000110101	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000110110	False
10	2	0000000000,0000000001,0000000010,0000000011,0000000100,0000000101,0000110111	False
10	5	0142103223,1323403231,0213431224,3423403223,4403403223,0142002223,0233403213,0120423023,0024203223,0142003223,0120423123,0142013223,0233403243,0213430223,3423403423,0213303223,0143403223,0213443323,0121404223,0213430203,0142103220,1323403232	True
10	5	0100203121,0213200332,0100203314,0043200311,0044140311,4423200311,1243200311,0242200011,0213200301,0100203111,2443201311,0100210411,0043204311,0100210211,0100202341,0241200311,4433400311,4433000311,0044120311,0043330311,0100203120,0213200333	True
10	5	0011302023,0203303324,3243303320,2303303213,3243304323,0010003303,0010203333,0011302123,2302123323,3243303423,0103313323,0010203323,1303303323,0103401323,1303333323,2302143323,0011300323,2303303243,0224303323,0033303323,0011302021,0203303322	True
10	5	4211440332,4210044133,1330440220,3320440332,0224342332,4210240332,1330430012,1303440332,0240120332,0240100332,4210040332,0020440332,0224343332,4210044332,0222411332,4211440342,0224440332,1330430432,0120440332,1330430002,4211440331,4210044134	True
10	5	0022110402,0023121404,0124111401,2300111402,0224111402,4334414402,4334011242,0023141402,2324112402,0022113402,4334411402,1344111432,4334011212,1314111002,0023121422,1314111402,4334011102,2300201402,2324131402,0221311302,0022110400,0023121403	True
10	5	0243134240,0110134214,0201034241,4430132200,0242124240,2440234230,0040134240,0200134240,0242104240,1040133240,0110141240,0040134040,1040130440,0124134240,2440234220,4430134340,1040130140,0110134240,0201334240,1040414240,0243134243,0110134212	True
10	5	0120132022,1320331021,0024142010,4012212122,4010132322,0230132422,2323130022,0024102022,0230122032,1320332022,0230122022,2323133022,4012212222,1320132022,0021432022,0200132022,4012034042,4012034002,2340132022,0230132022,0120132023,1320331024	True
10	5	4302401442,0002201404,2403101400,1322341402,0141401202,0142403402,0142400402,2403001402,0212401402,2403101102,0132431412,1322344402,0132411402,4302401422,0002402402,0002421402,0141401002,0200401402,0204401302,0142403432,4302401441,0002201403	True
10	5	0242322333,0012343232,0242320301,3322201313,0012022333,3322112333,0242320343,3322201333,3321322333,4334322333,0242320033,0012343433,1322422333,3322204333,0222322323,0003322333,3322222333,0122322133,4330322333,0012332333,0242322334,0012343230	True
10	5	0043220213,0043210304,1143230410,3340230313,0113230313,0234230113,0043221313,1143230013,0243330313,2303040343,2323233313,2323234313,2302230313,0043210313,0043130313,0234230313,3341232313,2323200333,0243430313,2323200323,0043220211,0043210302	True
10	5	2324310344,0144313340,0044310342,0144310444,1144320224,2303310344,4314440344,0232314304,4314400344,1144310344,1144210344,4314131344,4314132044,0230310344,4314132344,1144320214,2303310334,4311010344,0144310144,4344310344,2324310343,0144313341	True
10	5	3412433132,0024403131,0132410130,0142413132,2412413132,0201013132,0023113132,0142213132,0201313102,0012413132,0012412232,0140413132,0024444132,0132411332,0201313122,0132423132,0142413012,0012412432,1012413132,0012412242,3412433133,0024403134	True
10	5	3333423320,2343121323,0133121334,2313124340,0021121120,3333321320,1204121320,0233121320,0233122320,0133121320,0033141020,0033101300,0020021320,0033141420,2342121320,3333321220,0133111320,0033101310,2313120320,2343231320,3333423321,2343121322	True
10	5	0033430121,1430434133,2043430134,4433430131,1434230131,1430430131,1430402131,1430403131,2023420331,1412430131,0033430141,1434131131,0203430131,1412040131,2023410131,2023420431,0133430031,1430402111,0201330101,1434230231,0033430120,1430434132	True
10	5	3320143430,0003143433,3320142431,0202043440,0204144430,0012233430,2402141430,0202443430,0012103430,0204123430,0102143430,0204140430,3342143330,3342143230,0202043410,0012113420,0102143030,3321343130,1332143430,0204140400,3320143432,0003143434	True
10	5	3040300343,0100110342,0100110240,0100000343,0012300343,0100120343,2320204443,1340300143,0240300343,0044341343,1340300023,1340300033,0130300343,0130303343,0044342343,0012330343,0041300303,2323400343,2323300313,2323300343,3040300344,0100110341	True
10	5	0044314230,0040343032,4333334433,4333334230,3333334230,0233334230,0033332210,0123334330,0103430230,0231334230,0123324220,0044304230,0123234230,0033332240,0123334130,1112134230,0040344230,0103034230,0123334100,0033331230,0044314234,0040343031	True
10	5	0020223330,0041323332,0114320334,4341303320,0114321310,3141323330,4341343330,0241123230,1331323430,4343423330,0241123330,0022333330,0020323330,1301323330,4341303300,0020213130,0241024330,0241123340,4341302330,1331323030,0020223333,0041323331	True
10	5	0214013111,0014013142,1314423120,0200313111,0141013101,0142243311,3223014111,0200110111,0142232111,4314013411,0134013111,0142231211,3224013111,0141013111,0200113111,1314423131,4314013111,0142231011,1314013111,3223003111,0214013113,0014013144	True
10	5	0040421231,3443221234,1243421220,2433421231,0101421231,1244021231,0213441331,3443421231,0213441401,0143421231,0042124131,1243421231,1244301241,0223422231,0213431031,0213431231,0213441411,0040420231,0223423231,0040411231,0040421233,3443221232	True
10	5	4132132300,3331442042,0143142301,3331440300,0222102300,1332142300,4102142300,4102242300,4130142200,4132142300,0032111300,0112142300,0112142310,0032114300,4102142100,0144342300,3331043320,3331442030,0222122300,3331442400,4132132303,3331442044	True
10	5	3431331242,3431332143,1331341100,0131341442,0201341142,0233241032,0024441142,0041140142,0233241342,3431331142,0024414142,0024341142,0024413142,0024414112,0041001142,2310341142,0041021142,0021341142,0232341142,0233241022,3431331241,3431332144	True
10	5	1020402434,0020422001,4420430400,0243232444,0020421104,0020422404,0243232404,4432332404,3410442404,0020412404,0243133404,4420434314,0020421204,0120432404,0020032404,0240432404,3401432404,4434432404,1020432404,1020402424,1020402432,0020422003	True
10	5	4311324312,0241000303,3310033104,0201100342,0014000322,0014000332,0121000302,0013010302,3310033402,1012000302,0201100302,0201002302,3310031002,4311400302,3310031302,4331000302,0013000302,1011200302,3310040202,4311320302,4311324310,0241000301	True
10	5	0230404022,0240303023,1300301310,0013302022,0230402122,1300301402,2110202022,2112322022,1300300022,2112302022,2120002222,0014342022,2110102022,0230402022,0111302022,0014332032,1300301322,1300301442,0230312022,4310302022,0230404021,0240303024	True
10	5	0101233120,3140120242,0201042043,3140121040,0101242040,3140121010,3140102340,3140102440,0021042040,0101042040,3113042040,0231042040,1301042040,3112012040,2304042040,3112014040,3140120030,3140442040,2301342040,0101233100,0101233124,3140120241	True
10	5	2300331012,1340331421,0024331413,0130021412,0110331432,0024331312,3340303412,3340311442,2300331112,1340131412,0130031412,0130431412,2340231412,0110331402,3340311412,0131334412,0243341412,0022331412,0022332212,0131330412,2300331014,1340331420	True
10	5	2021314333,2021311310,4324031312,2023321313,2023421313,2021301443,0241143113,4324221313,2001321013,2021301403,0110321313,0241143313,2001321213,0231321313,2021314313,1321321313,0112322313,0021321323,0241140313,0241121313,2021314334,2021311311	True
10	5	0133200411,2333102122,0202332413,4233322011,0223004401,0041302411,4213302411,1333302411,4233342411,4214302211,2333402411,0223302411,2333102341,4214302411,2333412411,2333102331,0133202411,0200301411,0223003411,2333102111,0133200410,2333102124	True
10	5	3411004444,4321414242,1311434441,0112434444,4311434444,3411334444,0241431444,3411044444,3410430444,1311424444,0241433404,1311234414,3411332344,0114434444,3411004424,0201134444,0033434144,4321414444,0033434044,1311234434,3411004443,4321414240	True
10	5	1344310041,0213234042,0213231044,3304330241,3304330041,1322330041,3314032001,3314030011,1324333341,0134330041,2214340041,3314430141,0010330041,1344330041,3314430441,0011300041,1344130041,2214320031,3314032041,2214320021,1344310043,0213234040	True
10	5	0223231024,0103114220,1322412422,0103114024,0023114024,1322014124,0223204024,1324114024,1340114024,1322412304,1343114024,3023114024,3023344024,0023124024,1322414014,1324114034,0223230024,1322414044,4333114024,4311113024,0223231021,0103114223	True
10	5	3413141024,2433413020,3420443022,0203443024,2443443024,2433410024,0133443014,3413243024,2444003024,2433423224,0133443004,1332443024,3413142124,2433423324,3413234024,0033443024,1331343024,3420443044,1331443024,0033443434,3413141021,2433413023	True
10	5	1321243203,0001233101,0241213000,2111443203,0001204203,3321341233,0002043303,0001203203,0034240203,0030243203,0002043203,0241243213,3321243203,3321341223,0034242203,0002143203,2123243203,0001203243,0241213403,0121223203,1321243202,0001233104	True
10	5	1131123242,1131003240,2401303241,0141404242,0103403242,0001403242,0001403442,1111403042,0103403212,1131133142,0141400232,4421403242,0141400202,1111213242,0102402242,1131133342,1114403242,0103401242,0200443242,0200403222,1131123243,1131003244	True
10	5	3444341103,0021031100,0021031001,0244131103,0244130133,0142333103,0244130123,0014331143,0244331213,0243331103,2004231103,0244331203,0142334103,1444331103,2004431103,0244111103,0234331303,0020321103,0234331403,3444302103,3444341102,0021031104	True
10	5	3424323422,0223321444,0122121421,1244320022,1244321422,0024222402,0024321422,0121321222,0121321422,3424324422,1234311422,0122041422,1234321412,0214431422,1234321432,0122001422,0024222422,1230321422,1244320122,4404321322,3424323420,0223321443	True
10	5	3342411414,0222414410,4322411413,3334212424,1220341414,1223421144,0022411214,3334013414,0102411414,0212111414,0022431304,3334212434,0212411414,1223401414,0022431014,1223421414,0222411414,0211411414,3334210414,1223421114,3342411412,0222414411	True
10	5	2210232204,2212232200,0141242222,0131434204,0131032004,0221232204,0201232204,1333232204,2212112204,0034332204,2210201204,0131032404,4331232204,0031232214,0031232304,0141243244,2212122104,2210200204,0141242204,0141243234,2210232201,2212232203	True
10	5	2300334240,3341230243,0043430442,2300331240,0043010240,3340220240,0140230220,0020230240,0043440240,0140230230,3340200200,0232130210,0234233240,0020230340,0043430040,0232130240,2300230140,3340202240,1040230240,0210230240,2300334244,3341230241	True
10	5	2412344322,0142403204,0132140320,0224140022,1111140322,2412342322,0130140322,3412140312,2402010322,2412131332,0142400322,0142403422,0012140322,2412120322,2402040322,0142403222,0142400122,0223140322,0142240322,2412131342,2412344323,0142403201	True
10	5	2011144404,1312114303,0113134440,0113134424,2014434404,0113233404,3332134404,0020132404,2011124404,3302134204,0022134404,0142134404,2011141004,2014034404,0212304414,3302134104,3332134434,0113230404,1312114404,1312134404,2011144402,1312114301	True
10	5	4420221231,0122001434,0124324432,4420221331,0122141411,0122141421,0221321431,0010321441,4420222431,0124320431,4420331031,4420331431,0122021431,1120321131,0000321431,0122113431,1133321431,0010321431,3440321401,1130421431,4420221233,0122001430	True
10	5	0202234004,0202231302,0202234233,0142202304,4421032304,2322222304,0202234224,1312232304,4421432314,0022232304,0142202444,0232232104,0232332304,1320112304,0142202404,0142232304,1312233304,1320140304,0204232304,4423232304,0202234001,0202231300	True
